0.152 1
0.225 2
0.378 3
0.438 4
0.450 5
0.513 6
0.641 7
0.772 8
0.793 9
0.800 10
0.858 11
0.869 12
0.909 13
1.168 14
1.332 15
1.474 16
1.500 17
1.532 18
1.594 19
1.594 20
1.629 21
1.675 22
2.274 23
2.332 24
3.332 25
3.578 26
10.625 27
18.268 28
19.004 29
21.451 30
25.712 31
26.936 32
29.034 33
31.386 34
39.887 35
40.182 36
57.877 37
69.351 38
71.735 39
78.134 40
83.233 41
83.528 42
91.967 43
93.926 44
99.611 45
158.395 46
166.927 47
174.136 48
174.470 49
252.415 50
258.613 51
344.118 52
346.382 53
418.923 54
448.810 55
680.754 56
1196.712 57
1621.485 58
3465.038 59
784609.075 60
1000001.064 61
1000003.427 62
1000003.454 63
1000003.554 64
1000003.737 65
1000004.406 66
1000005.900 67
1000006.854 68
1000012.362 69
1000012.741 70
1000014.015 71
1000016.695 72
