0.201 1
0.297 2
0.753 3
1.048 4
1.359 5
1.639 6
1.664 7
1.706 8
1.991 9
2.019 10
2.364 11
2.538 12
3.002 13
3.470 14
4.298 15
4.834 16
5.507 17
5.728 18
6.118 19
6.199 20
6.372 21
7.048 22
8.592 23
8.730 24
12.051 25
25.147 26
26.804 27
29.772 28
46.835 29
51.441 30
53.048 31
54.311 32
55.363 33
56.887 34
73.431 35
83.446 36
121.576 37
145.368 38
163.792 39
168.216 40
179.882 41
183.090 42
187.285 43
189.086 44
190.173 45
240.195 46
290.637 47
368.412 48
535.604 49
569.708 50
651.579 51
680.745 52
751.378 53
901.792 54
1036.942 55
1052.131 56
2704.126 57
3265.735 58
5876.385 59
