0.144 1
0.218 2
0.381 3
0.449 4
0.480 5
0.521 6
0.679 7
0.791 8
0.847 9
0.858 10
0.861 11
0.930 12
1.157 13
1.165 14
1.465 15
1.480 16
1.557 17
1.572 18
1.582 19
1.641 20
1.695 21
2.212 22
2.326 23
2.413 24
3.526 25
3.847 26
11.037 27
17.383 28
18.918 29
22.711 30
25.727 31
26.990 32
29.043 33
31.065 34
39.213 35
39.979 36
56.643 37
69.378 38
71.593 39
79.403 40
83.484 41
83.705 42
92.402 43
94.456 44
98.329 45
156.959 46
170.383 47
175.003 48
177.141 49
263.699 50
305.335 51
344.830 52
358.647 53
397.894 54
447.343 55
563.670 56
1195.564 57
1638.992 58
3481.698 59
790704.929 60
