# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 1323017796
#
# Overhead  Command          Shared Object              Symbol                                                                                         
# ........  ...............  .........................  ...........................................................................................................................................................................................................
#
     0.11%  black-hole-pati  [unknown]                  [k] 0xffffffff810abe2c                                                                                                                                                                                     
     0.10%  black-hole-pati  [unknown]                  [k] 0xffffffff8112f780                                                                                                                                                                                     
     0.08%  black-hole-pati  [unknown]                  [k] 0xffffffff8113c07a                                                                                                                                                                                     
     0.07%  black-hole-pati  [unknown]                  [k] 0xffffffff8115a358                                                                                                                                                                                     
     0.06%  black-hole-pati  ld-2.12.so                 [.] _dl_relocate_object                                                                                                                                                                                    
     0.06%  black-hole-pati  [unknown]                  [k] 0xffffffff81177afa                                                                                                                                                                                     
     0.06%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::StdBoolTracer::StdBoolTracer                                                                                                                                                                   
     0.06%  black-hole-pati  libgecodeflatzinc.so.43.0  [.] Gecode::FlatZinc::(anonymous namespace)::IntPoster::IntPoster                                                                                                                                          
     0.06%  black-hole-pati  libstdc++.so.6.0.13        [.] __dynamic_cast                                                                                                                                                                                         
     0.06%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::extensional                                                                                                                                                                                    
     0.06%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::ViewArray<Gecode::Int::NegBoolView>::unique                                                                                                                                                    
     0.06%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::BoolVar::BoolVar                                                                                                                                                                               
     0.06%  black-hole-pati  [unknown]                  [k] 0xffffffff81052114                                                                                                                                                                                     
     0.06%  black-hole-pati  [unknown]                  [k] 0xffffffff8115a2f0                                                                                                                                                                                     
     0.06%  black-hole-pati  [unknown]                  [k] 0xffffffff812ae995                                                                                                                                                                                     
     0.06%  black-hole-pati  [unknown]                  [k] 0xffffffff8118cddc                                                                                                                                                                                     
     0.06%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Bool::NaryOr<Gecode::Int::NegBoolView, Gecode::Int::NegBoolView>::copy                                                                                                                    
     0.06%  black-hole-pati  libgecodeint.so.43.0       [.] _ZN6Gecode3Int9IntVarImp7nq_fullERNS_5SpaceEi@plt                                                                                                                                                      
     0.06%  black-hole-pati  libpthread-2.12.so         [.] pthread_spin_lock                                                                                                                                                                                      
     0.06%  black-hole-pati  [unknown]                  [k] 0xffffffff810a5b80                                                                                                                                                                                     
     0.06%  black-hole-pati  libgecodekernel.so.43.0    [.] Gecode::MemoryManager::alloc_refill                                                                                                                                                                    
     0.06%  black-hole-pati  black-hole-patience        [.] BlackHole::val                                                                                                                                                                                         
     0.06%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Linear::GqBin<int, Gecode::Int::IntView, Gecode::Int::MinusView>::copy                                                                                                                    
     0.06%  black-hole-pati  black-hole-patience        [.] Gecode::Driver::CombinedStop::stop                                                                                                                                                                     
     0.06%  black-hole-pati  [unknown]                  [k] 0xffffffff81144fec                                                                                                                                                                                     
     0.06%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Bool::BinOrTrue<Gecode::Int::BoolView, Gecode::Int::NegBoolView>::copy                                                                                                                    
     0.06%  black-hole-pati  [unknown]                  [k] 0xffffffff8154e22e                                                                                                                                                                                     
     0.06%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Bool::BinOrTrue<Gecode::Int::NegBoolView, Gecode::Int::NegBoolView>::post                                                                                                                 
     0.06%  black-hole-pati  libgecodeset.so.43.0       [.] Gecode::PosValChoice<int>::~PosValChoice                                                                                                                                                               
     0.06%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::ValSelCommit<Gecode::ValSelFunction<Gecode::Int::IntView>, Gecode::Int::Branch::ValCommitEq<Gecode::Int::IntView> >::copy                                                                      
     0.06%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Bool::BinOrTrue<Gecode::Int::NegBoolView, Gecode::Int::NegBoolView>::copy                                                                                                                 
     0.06%  black-hole-pati  libgecodeint.so.43.0       [.] _ZN6Gecode3Int9IntVarImp7gq_fullERNS_5SpaceEi@plt                                                                                                                                                      
     0.06%  black-hole-pati  [unknown]                  [k] 0xffffffff81550d59                                                                                                                                                                                     
     0.06%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Bool::NaryOr<Gecode::Int::NegBoolView, Gecode::Int::NegBoolView>::dispose                                                                                                                 
     0.06%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Extensional::Incremental<Gecode::Int::IntView>::cost                                                                                                                                      
     0.06%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Linear::LinBin<int, Gecode::Int::IntView, Gecode::Int::MinusView, 1>::dispose                                                                                                             
     0.06%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::ValSelCommit<Gecode::ValSelFunction<Gecode::Int::IntView>, Gecode::Int::Branch::ValCommitEq<Gecode::Int::IntView> >::commit                                                                    
     0.06%  black-hole-pati  [unknown]                  [k] 0xffffffff8118a675                                                                                                                                                                                     
     0.01%  black-hole-pati  [unknown]                  [k] 0xffffffff8154da43                                                                                                                                                                                     
     0.00%  black-hole-pati  [unknown]                  [k] 0xffffffff8123bfe1                                                                                                                                                                                     
     0.00%  black-hole-pati  [unknown]                  [k] 0xffffffffa047d52a                                                                                                                                                                                     
     0.00%  black-hole-pati  [unknown]                  [k] 0xffffffff8104614a                                                                                                                                                                                     
     0.00%  black-hole-pati  [unknown]                  [k] 0xffffffff81127717                                                                                                                                                                                     


#
# (For a higher level overview, try: perf report --sort comm,dso)
#
